epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5631.55,1.33852,1.08587,1.31923,0.83886,0.70475,0.78704,0.5038,1.42077,1.11218,1.32548,0.0091882,0.0091882,0.0091882
43,5760.94,1.33902,1.09743,1.32542,0.84471,0.72043,0.80028,0.51629,1.39515,1.08516,1.31962,0.0091684,0.0091684,0.0091684
44,5890.24,1.33645,1.088,1.31429,0.85707,0.72285,0.7975,0.50909,1.41872,1.10244,1.33557,0.0091486,0.0091486,0.0091486
45,6020.73,1.32588,1.06686,1.31335,0.83973,0.72631,0.80232,0.51167,1.41859,1.08317,1.33898,0.0091288,0.0091288,0.0091288
46,6150.69,1.33464,1.08019,1.31632,0.85282,0.73686,0.80019,0.50959,1.42916,1.09973,1.33836,0.009109,0.009109,0.009109
47,6277.42,1.31772,1.05398,1.30351,0.82975,0.72188,0.79813,0.51064,1.40513,1.08175,1.31173,0.0090892,0.0090892,0.0090892
48,6405.77,1.32355,1.05277,1.30701,0.85933,0.71468,0.80229,0.50815,1.4074,1.08877,1.32601,0.0090694,0.0090694,0.0090694
49,6536.52,1.31874,1.0487,1.30267,0.84745,0.72161,0.81061,0.51765,1.4017,1.08315,1.31662,0.0090496,0.0090496,0.0090496
50,6664.16,1.30564,1.04208,1.29479,0.8422,0.73289,0.80902,0.52168,1.41191,1.06953,1.32427,0.0090298,0.0090298,0.0090298
51,6793.52,1.30809,1.03683,1.29734,0.86481,0.73304,0.81452,0.52463,1.38033,1.05559,1.30845,0.00901,0.00901,0.00901
52,6924.46,1.31758,1.05058,1.3063,0.84009,0.73012,0.79906,0.51758,1.39899,1.05663,1.32744,0.0089902,0.0089902,0.0089902
53,7050.21,1.29059,1.01182,1.28218,0.84515,0.7344,0.79787,0.50788,1.41431,1.05598,1.31768,0.0089704,0.0089704,0.0089704
54,7184.43,1.30143,1.0133,1.29388,0.84815,0.74159,0.81857,0.53196,1.39742,1.02961,1.3107,0.0089506,0.0089506,0.0089506
55,7315.99,1.29663,1.00985,1.29655,0.86031,0.71834,0.81008,0.52794,1.39466,1.0439,1.31616,0.0089308,0.0089308,0.0089308
56,7446.51,1.29482,1.00745,1.29131,0.86042,0.72857,0.80868,0.53202,1.37908,1.03216,1.30802,0.008911,0.008911,0.008911
57,7577.35,1.28974,1.00399,1.28209,0.84576,0.74747,0.81668,0.53563,1.37205,1.04484,1.30036,0.0088912,0.0088912,0.0088912
58,7706.77,1.28923,0.99483,1.2836,0.84977,0.76586,0.82446,0.53212,1.40471,1.01941,1.31514,0.0088714,0.0088714,0.0088714
59,7837.39,1.28177,1.00651,1.28112,0.85322,0.73363,0.81717,0.53141,1.3967,1.01897,1.30133,0.0088516,0.0088516,0.0088516
60,7967.69,1.27976,0.98844,1.28012,0.84154,0.75184,0.81951,0.53994,1.38084,1.02063,1.30735,0.0088318,0.0088318,0.0088318
61,8098.83,1.28423,0.98352,1.27905,0.85651,0.7541,0.82125,0.53796,1.37786,1.00246,1.30491,0.008812,0.008812,0.008812
62,8230.81,1.28496,0.98337,1.27274,0.85177,0.74954,0.82511,0.53681,1.38425,1.01178,1.29746,0.0087922,0.0087922,0.0087922
63,8361.06,1.26969,0.96724,1.26352,0.85914,0.74363,0.8263,0.5394,1.37928,1.0111,1.28612,0.0087724,0.0087724,0.0087724
64,8491.26,1.26534,0.97098,1.26956,0.86513,0.74639,0.82564,0.5445,1.36108,0.98311,1.2766,0.0087526,0.0087526,0.0087526
65,8621.92,1.26566,0.95413,1.26704,0.85656,0.76144,0.83303,0.54571,1.35078,0.97415,1.2731,0.0087328,0.0087328,0.0087328
66,8752.37,1.26974,0.95572,1.26551,0.8667,0.75086,0.83091,0.54693,1.36827,0.98691,1.28288,0.008713,0.008713,0.008713
67,8885.32,1.26878,0.96003,1.27128,0.86107,0.76302,0.8275,0.53768,1.37648,0.98263,1.29193,0.0086932,0.0086932,0.0086932
68,9017.36,1.26161,0.95431,1.25974,0.89231,0.73778,0.82541,0.54041,1.36925,0.99037,1.28831,0.0086734,0.0086734,0.0086734
69,9149.98,1.2513,0.95204,1.25698,0.87413,0.74449,0.83049,0.54554,1.35696,0.98436,1.28557,0.0086536,0.0086536,0.0086536
70,9281.47,1.25312,0.94421,1.25459,0.87301,0.73989,0.82209,0.54611,1.34869,0.98548,1.276,0.0086338,0.0086338,0.0086338
71,9415.02,1.24253,0.93636,1.24903,0.86985,0.74878,0.83111,0.55271,1.35072,0.97581,1.28028,0.008614,0.008614,0.008614
72,9545.54,1.24294,0.93949,1.24561,0.86858,0.74587,0.83263,0.54925,1.35735,0.97921,1.28047,0.0085942,0.0085942,0.0085942
73,9676.5,1.25612,0.93823,1.26127,0.8703,0.75608,0.83381,0.55129,1.34591,0.98345,1.27706,0.0085744,0.0085744,0.0085744
74,9806.86,1.25304,0.93614,1.2533,0.8797,0.75625,0.83111,0.54923,1.34739,0.9843,1.27815,0.0085546,0.0085546,0.0085546
75,9938.21,1.23927,0.92754,1.25031,0.86602,0.76323,0.83114,0.55148,1.34775,0.97552,1.27757,0.0085348,0.0085348,0.0085348
76,10068.2,1.23721,0.91625,1.24699,0.87657,0.74505,0.8329,0.55017,1.3538,0.97153,1.28332,0.008515,0.008515,0.008515
77,10199.6,1.2428,0.9231,1.24512,0.86936,0.76155,0.83515,0.55637,1.36209,0.96254,1.28575,0.0084952,0.0084952,0.0084952
78,10330.6,1.23787,0.92792,1.24401,0.86947,0.7448,0.83365,0.55529,1.35923,0.95692,1.28618,0.0084754,0.0084754,0.0084754
79,10460.7,1.23614,0.91644,1.24177,0.85663,0.7587,0.83253,0.55633,1.35393,0.96137,1.28636,0.0084556,0.0084556,0.0084556
80,10591.6,1.23844,0.90518,1.2398,0.86729,0.75734,0.8302,0.55109,1.36325,0.95392,1.2938,0.0084358,0.0084358,0.0084358
81,10727.7,1.22944,0.90117,1.23613,0.84198,0.77067,0.83178,0.55235,1.36934,0.94692,1.2894,0.008416,0.008416,0.008416
